t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1564632494,1,0.946075,0.000000,0.000000,0.000000,events/second
1564632495,1,0.486212,0.000000,0.000000,0.000000,events/second
1564632496,2,0.654287,0.000000,0.000000,0.000000,events/second
1564632497,2,0.493003,0.000000,0.000000,0.000000,events/second
1564632498,3,0.593272,0.600000,0.600000,0.600000,events/second
1564632499,3,0.495326,0.600000,0.600000,0.600000,events/second
1564632500,4,0.566843,0.600000,0.600000,0.600000,events/second
1564632501,4,0.496478,0.600000,0.600000,0.600000,events/second
1564632502,5,0.552074,0.600000,0.600000,0.600000,events/second
1564632503,5,0.497182,0.584009,0.596694,0.598892,events/second
1564632504,6,0.542669,0.584009,0.596694,0.598892,events/second
1564632505,6,0.497649,0.584009,0.596694,0.598892,events/second
1564632506,7,0.536119,0.584009,0.596694,0.598892,events/second
1564632507,7,0.497985,0.584009,0.596694,0.598892,events/second
1564632508,8,0.531324,0.585287,0.596749,0.598898,events/second
1564632509,8,0.498237,0.585287,0.596749,0.598898,events/second
1564632510,9,0.527660,0.585287,0.596749,0.598898,events/second
1564632511,9,0.498437,0.585287,0.596749,0.598898,events/second
1564632512,10,0.524751,0.585287,0.596749,0.598898,events/second
